Date,Adj_Close
2018-01-02,237.208251953125
2018-01-03,238.70860290527344
2018-01-04,239.7146759033203
2018-01-05,241.31214904785156
2018-01-08,241.7534942626953
2018-01-09,242.30067443847656
2018-01-10,241.92996215820312
2018-01-11,243.69508361816406
2018-01-12,245.28367614746094
2018-01-16,244.4452667236328
2018-01-17,246.77525329589844
2018-01-18,246.36050415039062
2018-01-19,247.4813690185547
2018-01-22,249.49371337890625
2018-01-23,250.0231170654297
2018-01-24,249.92608642578125
2018-01-25,250.03195190429688
2018-01-26,252.9268035888672
2018-01-29,251.24986267089844
2018-01-30,248.6727294921875
2018-01-31,248.79629516601562
2018-02-01,248.5139617919922
2018-02-02,243.10374450683594
2018-02-05,232.93655395507812
2018-02-06,237.52589416503906
2018-02-07,236.2373504638672
2018-02-08,227.3763885498047
2018-02-09,230.79196166992188
2018-02-12,234.18104553222656
2018-02-13,234.76348876953125
2018-02-14,237.93194580078125
2018-02-15,240.96795654296875
2018-02-16,241.03855895996094
2018-02-20,239.5293731689453
2018-02-21,238.33790588378906
2018-02-22,238.64683532714844
2018-02-23,242.45066833496094
2018-02-26,245.26609802246094
2018-02-27,242.20350646972656
2018-02-28,239.75003051757812
2018-03-01,236.26393127441406
2018-03-02,237.4818572998047
2018-03-05,240.2266387939453
2018-03-06,240.8355255126953
2018-03-07,240.74740600585938
2018-03-08,241.91238403320312
2018-03-09,246.12220764160156
2018-03-12,245.81329345703125
2018-03-13,244.224609375
2018-03-14,242.97145080566406
2018-03-15,242.70663452148438
2018-03-16,242.96983337402344
2018-03-19,239.68235778808594
2018-03-20,240.0900421142578
2018-03-21,239.6292266845703
2018-03-22,233.63916015625
2018-03-23,228.65919494628906
2018-03-26,234.9151153564453
2018-03-27,230.9188232421875
2018-03-28,230.23648071289062
2018-03-29,233.1783905029297
2018-04-02,228.1453094482422
2018-04-03,231.06935119628906
2018-04-04,233.5416259765625
2018-04-05,235.38478088378906
2018-04-06,230.1389617919922
2018-04-09,231.27320861816406
2018-04-10,234.95054626464844
2018-04-11,233.7188262939453
2018-04-12,235.64166259765625
2018-04-13,234.95054626464844
2018-04-16,236.88226318359375
